Date,City,Confirmed,OBJECTID
10/1/2020,Amman,538,4
10/1/2020,Zarqa,534,6
10/1/2020,Jerash,23,12
10/1/2020,irbid ,24,7
10/1/2020,Madaba,11,3
10/1/2020,Ajloun,5,9
10/1/2020,Karak,3,11
10/1/2020,Balqa,119,8
10/1/2020,Maan,5,1
10/1/2020,Mafraq,7,10
10/1/2020,Tafilah,0,5
10/1/2020,Aqaba,5,2
10/2/2020,Amman,408,4
10/2/2020,Zarqa,72,6
10/2/2020,Jerash,4,12
10/2/2020,irbid ,2,7
10/2/2020,Madaba,0,3
10/2/2020,Ajloun,2,9
10/2/2020,Karak,5,11
10/2/2020,Balqa,45,8
10/2/2020,Maan,4,1
10/2/2020,Mafraq,4,10
10/2/2020,Tafilah,0,5
10/2/2020,Aqaba,0,2
10/3/2020,Amman,737,4
10/3/2020,Zarqa,184,6
10/3/2020,Jerash,13,12
10/3/2020,irbid ,11,7
10/3/2020,Madaba,6,3
10/3/2020,Ajloun,26,9
10/3/2020,Karak,21,11
10/3/2020,Balqa,73,8
10/3/2020,Maan,3,1
10/3/2020,Mafraq,12,10
10/3/2020,Tafilah,0,5
10/3/2020,Aqaba,13,2
10/4/2020,Amman,606,4
10/4/2020,Zarqa,130,6
10/4/2020,Jerash,13,12
10/4/2020,irbid ,24,7
10/4/2020,Madaba,18,3
10/4/2020,Ajloun,4,9
10/4/2020,Karak,19,11
10/4/2020,Balqa,46,8
10/4/2020,Maan,5,1
10/4/2020,Mafraq,4,10
10/4/2020,Tafilah,19,5
10/4/2020,Aqaba,1,2
10/5/2020,Amman,1188,4
10/5/2020,Zarqa,125,6
10/5/2020,Jerash,70,12
10/5/2020,irbid ,89,7
10/5/2020,Madaba,65,3
10/5/2020,Ajloun,119,9
10/5/2020,Karak,53,11
10/5/2020,Balqa,65,8
10/5/2020,Maan,6,1
10/5/2020,Mafraq,11,10
10/5/2020,Tafilah,11,5
10/5/2020,Aqaba,21,2
10/6/2020,Amman,0,4
10/6/2020,Zarqa,0,6
10/6/2020,Jerash,0,12
10/6/2020,irbid ,0,7
10/6/2020,Madaba,0,3
10/6/2020,Ajloun,0,9
10/6/2020,Karak,0,11
10/6/2020,Balqa,0,8
10/6/2020,Maan,0,1
10/6/2020,Mafraq,0,10
10/6/2020,Tafilah,0,5
10/6/2020,Aqaba,0,2
10/7/2020,Amman,870,4
10/7/2020,Zarqa,115,6
10/7/2020,Jerash,7,12
10/7/2020,irbid ,81,7
10/7/2020,Madaba,3,3
10/7/2020,Ajloun,1,9
10/7/2020,Karak,28,11
10/7/2020,Balqa,37,8
10/7/2020,Maan,18,1
10/7/2020,Mafraq,4,10
10/7/2020,Tafilah,1,5
10/7/2020,Aqaba,25,2
10/8/2020,Amman,895,4
10/8/2020,Zarqa,102,6
10/8/2020,Jerash,8,12
10/8/2020,irbid ,16,7
10/8/2020,Madaba,9,3
10/8/2020,Ajloun,7,9
10/8/2020,Karak,213,11
10/8/2020,Balqa,27,8
10/8/2020,Maan,11,1
10/8/2020,Mafraq,6,10
10/8/2020,Tafilah,7,5
10/8/2020,Aqaba,11,2
10/9/2020,Amman,1046,4
10/9/2020,Zarqa,49,6
10/9/2020,Jerash,13,12
10/9/2020,irbid ,15,7
10/9/2020,Madaba,10,3
10/9/2020,Ajloun,14,9
10/9/2020,Karak,11,11
10/9/2020,Balqa,55,8
10/9/2020,Maan,0,1
10/9/2020,Mafraq,14,10
10/9/2020,Tafilah,1,5
10/9/2020,Aqaba,2,2
10/10/2020,Amman,742,4
10/10/2020,Zarqa,200,6
10/10/2020,Jerash,24,12
10/10/2020,irbid ,59,7
10/10/2020,Madaba,9,3
10/10/2020,Ajloun,8,9
10/10/2020,Karak,97,11
10/10/2020,Balqa,31,8
10/10/2020,Maan,35,1
10/10/2020,Mafraq,13,10
10/10/2020,Tafilah,2,5
10/10/2020,Aqaba,7,2
10/11/2020,Amman,614,4
10/11/2020,Zarqa,71,6
10/11/2020,Jerash,14,12
10/11/2020,irbid ,71,7
10/11/2020,Madaba,6,3
10/11/2020,Ajloun,49,9
10/11/2020,Karak,1,11
10/11/2020,Balqa,89,8
10/11/2020,Maan,2,1
10/11/2020,Mafraq,0,10
10/11/2020,Tafilah,6,5
10/11/2020,Aqaba,0,2
10/12/2020,Amman,647,4
10/12/2020,Zarqa,116,6
10/12/2020,Jerash,52,12
10/12/2020,irbid ,18,7
10/12/2020,Madaba,30,3
10/12/2020,Ajloun,18,9
10/12/2020,Karak,163,11
10/12/2020,Balqa,62,8
10/12/2020,Maan,24,1
10/12/2020,Mafraq,5,10
10/12/2020,Tafilah,0,5
10/12/2020,Aqaba,7,2
10/13/2020,Amman,1357,4
10/13/2020,Zarqa,210,6
10/13/2020,Jerash,28,12
10/13/2020,irbid ,122,7
10/13/2020,Madaba,40,3
10/13/2020,Ajloun,90,9
10/13/2020,Karak,67,11
10/13/2020,Balqa,59,8
10/13/2020,Maan,25,1
10/13/2020,Mafraq,30,10
10/13/2020,Tafilah,11,5
10/13/2020,Aqaba,8,2
10/14/2020,Amman,1319,4
10/14/2020,Zarqa,538,6
10/14/2020,Jerash,42,12
10/14/2020,irbid ,293,7
10/14/2020,Madaba,19,3
10/14/2020,Ajloun,11,9
10/14/2020,Karak,20,11
10/14/2020,Balqa,93,8
10/14/2020,Maan,17,1
10/14/2020,Mafraq,31,10
10/14/2020,Tafilah,6,5
10/14/2020,Aqaba,22,2
10/15/2020,Amman,1071,4
10/15/2020,Zarqa,809,6
10/15/2020,Jerash,44,12
10/15/2020,irbid ,135,7
10/15/2020,Madaba,13,3
10/15/2020,Ajloun,96,9
10/15/2020,Karak,84,11
10/15/2020,Balqa,103,8
10/15/2020,Maan,29,1
10/15/2020,Mafraq,22,10
10/15/2020,Tafilah,125,5
10/15/2020,Aqaba,25,2
10/16/2020,Amman,907,4
10/16/2020,Zarqa,135,6
10/16/2020,Jerash,67,12
10/16/2020,irbid ,101,7
10/16/2020,Madaba,52,3
10/16/2020,Ajloun,56,9
10/16/2020,Karak,35,11
10/16/2020,Balqa,105,8
10/16/2020,Maan,9,1
10/16/2020,Mafraq,35,10
10/16/2020,Tafilah,9,5
10/16/2020,Aqaba,12,2
10/17/2020,Amman,939,4
10/17/2020,Zarqa,181,6
10/17/2020,Jerash,17,12
10/17/2020,irbid ,191,7
10/17/2020,Madaba,3,3
10/17/2020,Ajloun,7,9
10/17/2020,Karak,29,11
10/17/2020,Balqa,36,8
10/17/2020,Maan,42,1
10/17/2020,Mafraq,39,10
10/17/2020,Tafilah,6,5
10/17/2020,Aqaba,15,2
10/18/2020,Amman,1100,4
10/18/2020,Zarqa,99,6
10/18/2020,Jerash,4,12
10/18/2020,irbid ,111,7
10/18/2020,Madaba,25,3
10/18/2020,Ajloun,14,9
10/18/2020,Karak,74,11
10/18/2020,Balqa,64,8
10/18/2020,Maan,8,1
10/18/2020,Mafraq,3,10
10/18/2020,Tafilah,11,5
10/18/2020,Aqaba,7,2
10/19/2020,Amman,901,4
10/19/2020,Zarqa,62,6
10/19/2020,Jerash,38,12
10/19/2020,irbid ,149,7
10/19/2020,Madaba,11,3
10/19/2020,Ajloun,40,9
10/19/2020,Karak,31,11
10/19/2020,Balqa,48,8
10/19/2020,Maan,12,1
10/19/2020,Mafraq,8,10
10/19/2020,Tafilah,18,5
10/19/2020,Aqaba,44,2
10/20/2020,Amman,1218,4
10/20/2020,Zarqa,537,6
10/20/2020,Jerash,20,12
10/20/2020,irbid ,47,7
10/20/2020,Madaba,27,3
10/20/2020,Ajloun,7,9
10/20/2020,Karak,36,11
10/20/2020,Balqa,53,8
10/20/2020,Maan,40,1
10/20/2020,Mafraq,35,10
10/20/2020,Tafilah,0,5
10/20/2020,Aqaba,11,2
10/21/2020,Amman,1578,4
10/21/2020,Zarqa,320,6
10/21/2020,Jerash,104,12
10/21/2020,irbid ,230,7
10/21/2020,Madaba,58,3
10/21/2020,Ajloun,24,9
10/21/2020,Karak,0,11
10/21/2020,Balqa,139,8
10/21/2020,Maan,28,1
10/21/2020,Mafraq,18,10
10/21/2020,Tafilah,2,5
10/21/2020,Aqaba,36,2
10/22/2020,Amman,1886,4
10/22/2020,Zarqa,293,6
10/22/2020,Jerash,5,12
10/22/2020,irbid ,268,7
10/22/2020,Madaba,23,3
10/22/2020,Ajloun,35,9
10/22/2020,Karak,28,11
10/22/2020,Balqa,133,8
10/22/2020,Maan,37,1
10/22/2020,Mafraq,32,10
10/22/2020,Tafilah,17,5
10/22/2020,Aqaba,61,2
10/23/2020,Amman,1416,4
10/23/2020,Zarqa,256,6
10/23/2020,Jerash,66,12
10/23/2020,irbid ,321,7
10/23/2020,Madaba,101,3
10/23/2020,Ajloun,1,9
10/23/2020,Karak,179,11
10/23/2020,Balqa,77,8
10/23/2020,Maan,15,1
10/23/2020,Mafraq,19,10
10/23/2020,Tafilah,5,5
10/23/2020,Aqaba,31,2
10/24/2020,Amman,1050,4
10/24/2020,Zarqa,235,6
10/24/2020,Jerash,40,12
10/24/2020,irbid ,205,7
10/24/2020,Madaba,26,3
10/24/2020,Ajloun,21,9
10/24/2020,Karak,31,11
10/24/2020,Balqa,45,8
10/24/2020,Maan,66,1
10/24/2020,Mafraq,36,10
10/24/2020,Tafilah,0,5
10/24/2020,Aqaba,63,2
10/25/2020,Amman,1733,4
10/25/2020,Zarqa,0,6
10/25/2020,Jerash,12,12
10/25/2020,irbid ,386,7
10/25/2020,Madaba,2,3
10/25/2020,Ajloun,15,9
10/25/2020,Karak,21,11
10/25/2020,Balqa,31,8
10/25/2020,Maan,21,1
10/25/2020,Mafraq,1,10
10/25/2020,Tafilah,32,5
10/25/2020,Aqaba,83,2
10/26/2020,Amman,1159,4
10/26/2020,Zarqa,154,6
10/26/2020,Jerash,61,12
10/26/2020,irbid ,171,7
10/26/2020,Madaba,25,3
10/26/2020,Ajloun,36,9
10/26/2020,Karak,98,11
10/26/2020,Balqa,56,8
10/26/2020,Maan,33,1
10/26/2020,Mafraq,117,10
10/26/2020,Tafilah,16,5
10/26/2020,Aqaba,42,2
10/27/2020,Amman,2253,4
10/27/2020,Zarqa,562,6
10/27/2020,Jerash,143,12
10/27/2020,irbid ,383,7
10/27/2020,Madaba,4,3
10/27/2020,Ajloun,41,9
10/27/2020,Karak,87,11
10/27/2020,Balqa,44,8
10/27/2020,Maan,47,1
10/27/2020,Mafraq,76,10
10/27/2020,Tafilah,98,5
10/27/2020,Aqaba,62,2
10/28/2020,Amman,1329,4
10/28/2020,Zarqa,849,6
10/28/2020,Jerash,10,12
10/28/2020,irbid ,226,7
10/28/2020,Madaba,83,3
10/28/2020,Ajloun,62,9
10/28/2020,Karak,100,11
10/28/2020,Balqa,252,8
10/28/2020,Maan,28,1
10/28/2020,Mafraq,92,10
10/28/2020,Tafilah,26,5
10/28/2020,Aqaba,30,2
10/29/2020,Amman,2105,4
10/29/2020,Zarqa,537,6
10/29/2020,Jerash,44,12
10/29/2020,irbid ,198,7
10/29/2020,Madaba,17,3
10/29/2020,Ajloun,23,9
10/29/2020,Karak,46,11
10/29/2020,Balqa,138,8
10/29/2020,Maan,31,1
10/29/2020,Mafraq,145,10
10/29/2020,Tafilah,10,5
10/29/2020,Aqaba,149,2
10/30/2020,Amman,2322,4
10/30/2020,Zarqa,280,6
10/30/2020,Jerash,59,12
10/30/2020,irbid ,418,7
10/30/2020,Madaba,84,3
