City,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020
ajloun,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,3,11,23,0,1,0,5,2,26,4,119,0,1,7,14,8,49,18,90,11,96,56,7,14,40,7,24,35,1,21,15,36,41,62,23,101,83,86,108,31,89,119,44,122,5,34,67,261,335,59,237,118,101,590,47,372,339,297,2,259,189,160,242,126,271,56,122,193,191,266,31,201,39,178,118,172,38,114,101,36,128,39,174,92,36,29,82,80,137,63,71,6,48,77,49,73,62
amman,54,26,41,38,22,41,46,57,55,38,136,76,85,0,87,96,0,104,88,149,166,273,0,313,306,435,281,0,476,0,538,408,737,606,1188,0,870,895,1046,742,614,647,1357,1319,1071,907,939,1100,901,1218,1578,1886,1416,1050,1733,1159,2253,1329,2105,2322,1534,2199,3361,2477,2274,2833,3339,1731,2317,3147,2987,2514,2533,2084,2102,1145,3169,2641,2412,2378,1688,1543,1699,1751,1810,1510,1594,1442,1089,999,1241,1292,890,1376,888,1014,952,1200,1062,898,967,801,465,910,932,901,926,712,522,428,762,940,777,765,558,477,372,485,741,595,534
aqaba,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,5,0,13,1,21,0,25,11,2,7,0,7,8,22,25,12,15,7,44,11,36,61,31,63,83,42,62,30,149,89,63,88,107,134,131,117,73,186,177,186,253,173,105,7,32,47,281,214,1893,163,93,189,268,192,157,222,193,61,61,218,178,107,121,121,8,86,97,70,108,53,96,19,45,115,84,76,66,59,2,65,73,46,82,46,48,4,63,61,39,42,28
balqa,0,2,0,3,14,8,6,5,2,19,33,15,65,0,30,19,0,29,23,13,38,120,0,34,146,132,50,0,46,0,119,45,73,46,65,0,37,27,55,31,89,62,59,93,103,105,36,64,48,53,139,133,77,45,31,56,44,252,138,132,132,71,294,98,444,152,275,89,133,170,274,289,605,100,167,54,293,371,379,495,202,328,372,266,330,351,269,146,160,230,58,375,194,203,168,127,133,229,168,216,182,90,99,249,96,153,124,149,50,74,144,138,153,106,96,41,82,143,91,78,104
irbid,0,0,1,6,6,3,8,2,0,7,0,2,5,0,3,16,0,14,8,5,8,31,0,14,10,60,11,0,24,0,24,2,11,24,89,0,81,16,15,59,71,18,122,293,135,101,191,111,149,47,230,268,321,205,386,171,383,226,198,418,369,197,623,507,670,421,398,509,439,581,511,704,601,1109,1133,269,769,1131,998,670,894,295,1441,872,663,1250,993,867,755,989,1804,843,1047,904,1041,659,661,1067,768,1071,876,568,599,579,778,808,771,572,662,466,614,615,736,503,532,627,344,377,448,398,594
jerash,1,1,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,10,0,10,5,0,5,1,0,16,0,13,0,23,4,13,13,70,0,7,8,13,24,14,52,28,42,44,67,17,4,38,20,104,5,66,40,12,61,143,10,44,59,151,8,75,148,4,7,243,73,79,231,80,200,32,494,139,115,202,47,708,223,244,18,661,264,44,293,212,371,61,246,245,284,74,226,211,140,64,121,113,94,180,81,122,13,143,70,74,92,48,33,74,157,67,133,75,75,5,91,52,37,52
karak,0,0,0,0,0,0,0,25,13,9,9,3,43,0,18,20,0,30,10,22,25,29,0,37,24,4,7,0,14,0,3,5,21,19,53,0,28,213,11,97,1,163,67,20,84,35,29,74,31,36,0,28,179,31,21,98,87,100,46,73,128,66,87,137,23,75,98,128,203,279,266,26,308,121,129,48,130,110,347,332,330,361,162,279,96,122,512,138,349,264,353,175,315,211,116,196,137,163,137,132,89,90,64,160,96,131,53,72,48,44,58,92,47,91,40,33,20,56,72,79,66
maan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,12,3,52,0,12,9,21,12,0,1,0,5,4,3,5,6,0,18,11,0,35,2,24,25,17,29,9,42,8,12,40,28,37,15,66,21,33,47,28,31,118,109,118,197,39,136,110,204,35,113,172,104,85,60,3,40,49,114,205,144,167,80,213,85,135,51,128,107,72,18,91,82,128,54,51,27,13,34,63,34,37,21,14,1,16,46,38,37,21,16,0,43,17,37,32,6,23,2,20,21,18,16
madaba,0,4,0,0,0,0,1,0,4,0,3,0,7,0,1,2,0,0,3,0,3,17,0,1,2,0,0,0,2,0,11,0,6,18,65,0,3,9,10,9,6,30,40,19,13,52,3,25,11,27,58,23,101,26,2,25,4,83,17,84,82,85,8,10,99,20,151,48,72,66,176,223,54,84,29,139,140,214,281,52,182,101,23,94,290,98,48,186,104,107,45,66,86,124,47,40,58,98,46,90,7,90,5,59,1,54,60,91,54,1,48,48,49,41,33,17,27,36,55,43,35
mafraq,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,6,0,6,0,6,16,2,1,0,20,0,7,4,12,4,11,0,4,6,14,13,0,5,30,31,22,35,39,3,8,35,18,32,19,36,1,117,76,92,145,69,99,42,75,97,213,73,10,118,126,79,58,54,184,224,174,26,102,418,127,169,337,213,46,340,349,369,245,648,108,102,626,253,279,270,304,352,110,454,144,135,202,157,222,6,296,29,90,166,101,116,75,112,96,133,82,146,63,108,81,151,61
tafeela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,19,11,0,1,7,1,2,6,0,11,6,125,9,6,11,18,0,2,17,5,0,32,16,98,26,10,166,53,35,58,28,47,0,96,38,27,89,158,95,106,42,220,95,123,157,65,96,95,129,138,93,141,97,40,158,46,26,128,65,57,100,26,92,28,46,54,64,40,92,46,64,44,34,50,48,19,0,54,41,46,44,40,29,3,41,20,22,20
