,City,Confirmed,Sep(20),Oct(20),Nov(20),Dec(20),Jan(21),Feb(21),Mar(21),Apr(21),May(21)
0,Mafraq,26434,68,987,5752,4924,1630,1115,6477,5481,1385
1,Irbid ,107733,244,4734,23063,20858,7533,5114,28056,18131,3916
2,Jerash,21464,69,1196,5767,3037,1020,1169,6057,3149,680
3,Ajloun,18942,47,1016,4888,2972,761,799,5273,3186,792
4,Zarqa,67853,942,8253,15149,5380,1766,3249,21820,11294,3165
5,Amman,331948,3489,35468,64009,24615,14656,43367,108611,37733,9104
6,Balqa,44264,852,2389,7465,4343,2374,5461,16126,5254,1323
7,Madaba,17408,50,862,3229,1576,603,1204,6815,3069,577
8,Karak,25119,342,1781,5879,3146,696,1236,7640,4399,1252
9,Tafilah,12071,6,658,2666,1345,475,443,3514,2964,731
10,Maan,10942,132,828,3157,902,250,453,3410,1810,725
11,Aqaba,20180,5,945,6199,1966,515,1028,6392,3130,624
