,City,Confirmed,OBJECTID,top Confirmed,today,lat,long
0,Mafraq,27792,1,648,24,32.2833,36.2333
1,irbid ,111649,2,1804,67,32.5556,35.85
2,Jerash,22144,3,708,20,32.2723,35.8914
3,Ajloun,19734,4,590,28,32.3325,35.7517
4,Zarqa,71018,5,1385,85,32.0833,36.1
5,Amman,341052,6,4842,292,31.95,35.9333
6,Balqa,45587,7,914,14,32.0333,35.7333
7,Madaba,17985,8,465,30,31.7167,35.8
8,Karak,26371,9,512,43,31.1833,35.7
9,Tafilah,12802,10,238,24,30.8375,35.6042
10,Maan,11867,11,254,31,30.192,35.736
11,Aqaba,20804,12,1893,14,29.5167,35.0
